N_stages,feed_stage,feed_stage_ratio,reflux_ratio,z_feed_benzene,feed_temperature_K,feed_pressure_Pa,feed_quality_q,feed_vapor_fraction,xD_distillate_purity,xB_bottoms_purity,Qc_condenser_duty_kW,Qr_reboiler_duty_kW,bubble_point_T_K,relative_volatility
10,5,0.5,2.2527,0.4189,376.95,90397.0,0.9764,0.0236,0.57931,0.09596,1.917,2.221,450.0,1.9965
17,6,0.353,3.4078,0.2171,369.23,108564.0,0.6634,0.3366,0.43318,0.03073,1.821,2.315,450.0,1.9965
23,7,0.304,0.9921,0.394,337.77,128540.0,0.6772,0.3228,0.92806,0.01573,0.709,1.143,300.0,2.9638
12,6,0.5,4.4605,0.1545,361.29,110761.0,0.7528,0.2472,0.58582,0.01145,1.199,1.694,300.0,2.9638
6,2,0.333,4.8887,0.1206,362.23,117102.0,0.9706,0.0294,0.36335,0.01323,1.62,2.0,300.0,2.9638
25,13,0.52,4.8693,0.2081,390.52,102475.0,0.9382,0.0618,0.82496,0.00888,1.24,1.936,450.0,1.9965
5,2,0.4,3.9485,0.8705,368.27,120960.0,0.5513,0.4487,0.90624,0.58835,3.776,3.732,300.0,2.9638
19,9,0.474,1.3464,0.5396,356.63,120917.0,0.6964,0.3036,0.94118,0.02959,1.126,1.372,300.0,2.9638
5,2,0.4,3.9847,0.8727,398.38,110852.0,0.7767,0.2233,0.9078,0.59336,3.806,3.614,300.0,2.9638
9,2,0.222,0.9033,0.446,337.75,129041.0,0.7516,0.2484,0.5989,0.10867,1.153,1.323,300.0,2.9638
20,8,0.4,0.8929,0.3495,359.58,95022.0,0.5969,0.4031,0.56132,0.05935,0.966,1.354,450.0,1.9965
23,7,0.304,2.1592,0.5049,332.94,90678.0,0.9294,0.0706,0.85241,0.04568,1.553,1.948,450.0,1.9965
8,2,0.25,2.8523,0.4516,381.79,120806.0,0.8385,0.1615,0.60297,0.11146,2.347,2.35,300.0,2.9638
7,5,0.714,4.0357,0.1845,394.27,122286.0,0.919,0.081,0.4096,0.02403,1.873,2.043,300.0,2.9638
21,8,0.381,3.6698,0.6127,349.6,94808.0,0.9294,0.0706,0.84291,0.09601,2.791,3.073,450.0,1.9965
21,13,0.619,2.6728,0.2728,390.08,100623.0,0.8742,0.1258,0.69287,0.0217,1.202,1.777,450.0,1.9965
16,6,0.375,1.9492,0.5957,350.46,90702.0,0.7196,0.2804,0.70727,0.20411,2.004,2.206,450.0,1.9965
18,10,0.556,4.9879,0.6202,393.75,101732.0,0.8053,0.1947,0.7832,0.15078,3.858,4.093,450.0,1.9965
25,15,0.6,2.59,0.2216,382.78,120926.0,0.5802,0.4198,0.92341,0.00626,0.724,1.226,300.0,2.9638
10,5,0.5,2.6958,0.1491,386.34,110718.0,0.8368,0.1632,0.38393,0.01767,1.187,1.469,300.0,2.9638
7,3,0.429,1.4872,0.7246,331.26,103924.0,0.5896,0.4104,0.80062,0.33637,1.803,1.95,450.0,1.9965
13,5,0.385,4.1382,0.4678,397.4,104870.0,0.847,0.153,0.61472,0.11981,3.178,3.45,450.0,1.9965
9,3,0.333,3.7135,0.1465,380.87,90054.0,0.6148,0.3852,0.38209,0.01725,1.496,2.09,450.0,1.9965
21,15,0.714,1.7272,0.8959,351.33,101992.0,0.5588,0.4412,0.92463,0.65023,2.096,2.188,450.0,1.9965
18,11,0.611,1.146,0.1462,388.06,115858.0,0.5826,0.4174,0.77684,0.00639,0.338,0.873,300.0,2.9638
25,18,0.72,3.6581,0.656,349.71,128968.0,0.501,0.499,0.96615,0.04222,2.648,2.858,300.0,2.9638
